Person-ID,"Label [generiert, nicht manuell berarbeiten]",Familienname,Vorname,Geburtsdatum,Sterbedatum,GND,Kurzbeschreibung,Kategorie,Quellen,Bemerkungen
person_023,"Suizerus, Johann Casparus (-)",Suizerus,Johann Casparus,,,evtl. 11565402X,,Historische Person,,
person_024,"Falk von Traubenberg, Ehrenhold (-)",Falk von Traubenberg,Ehrenhold,,,,Pseudonym,,,
person_025,"Simler, Rudolf (1568-1611)",Simler,Rudolf,1568,1611,117387843,"Arzt, Theologe",Historische Person,https://hls-dhs-dss.ch/de/articles/046252,
person_026,"Bärholz, Daniel (1641-1688)",Bärholz,Daniel,1641,1688,128816708,Deutscher Dichter,Historische Person,https://de.wikipedia.org/wiki/Daniel_B%C3%A4rholz,
person_027,"Veiras, Hans Franz (1576-1672)",Veiras,Hans Franz,1576,1672,128874090,"Schriftsteller, Verfasser der ""Heutelia"" (1658)",Historische Person,https://hls-dhs-dss.ch/de/articles/012364/2013-02-21/,
person_028,"Vergil,  (70 v. Chr.-19 v. Chr.)",Vergil,,70 v. Chr.,19 v. Chr.,118626574,römischer Dichter,Historische Person,https://de.wikipedia.org/wiki/Vergil,
person_029,"Buchner, August (1591-1661)",Buchner,August,1591,1661,118913859,"Altphilologe, Dichter, Literaturtheoretiker",Historische Person,https://de.wikipedia.org/wiki/August_Buchner,
person_030,"Venator, Balthasar (1594-1664)",Venator,Balthasar,1594,1664,117369993,"Späthumanist, neulateinischer Dichter und Satiriker",Historische Person,https://de.wikipedia.org/wiki/Balthasar_Venator,
person_031,"Nüßler, Bernhard Wilhem  (1597/1598-1643)",Nüßler,Bernhard Wilhem ,1597/1598,1643,129154652,Dichter,Historische Person,https://www.deutsche-digitale-bibliothek.de/person/gnd/129154652,
person_032,"Weckherlin, Georg Rudolf (1584-1653)",Weckherlin,Georg Rudolf,1584,1653,118629840,"Deutscher Lyriker, Hofdichter von Johann Friedrich von Württemberg",Historische Person,https://de.wikipedia.org/wiki/Georg_Rodolf_Weckherlin,
person_033,"Hübner, Tobias (1578-1636)",Hübner,Tobias,1578,1636,120079291,"Deutscher Barockdichter und Literaturtheoretiker, Mitglied der Fruchtbringenden Gesellschaft",Historische Person,https://de.wikipedia.org/wiki/Tobias_Hübner,
